word,lang_code,ipa
2272260,aah,en_UK,_ˈɑː_
2272261,aardvark,en_UK,_ˈɑːdvɑːk_
2272262,aardvarks,en_UK,_ˈɑːdvɑːks_
2272263,aardwolf,en_UK,_ˈɑːdwʊlf_
2272264,aba,en_UK,_ɐbˈæ_
2272265,abaca,en_UK,_æbˈækɐ_
2272266,aback,en_UK,_ɐbˈæk_
2272267,abacus,en_UK,_ˈæbækəs_
2272268,abacuses,en_UK,_ˈæbɐkəsɪz_
2272269,abalone,en_UK,_ɐbˈælə‍ʊn_
2272270,abandon,en_UK,_ɐbˈændən_
2272271,abandoned,en_UK,_ɐbˈændənd_
2272272,abandoning,en_UK,_ɐbˈændənɪŋ_
2272273,abandonment,en_UK,_ɐbˈændənmənt_
2272274,abandons,en_UK,_ɐbˈændənz_
2272275,abas,en_UK,_ɐbˈæz_
2272276,abase,en_UK,_ɐbˈe‍ɪs_
2272277,abasement,en_UK,_ɐbˈe‍ɪsmənt_
2272278,abashed,en_UK,_ɐbˈæʃt_
2272279,abate,en_UK,_ɐbˈe‍ɪt_
2272280,abated,en_UK,_ɐbˈe‍ɪtɪd_
2272281,abatement,en_UK,_ɐbˈe‍ɪtmənt_
2272282,abates,en_UK,_ɐbˈe‍ɪts_
2272283,abating,en_UK,_ɐbˈe‍ɪtɪŋ_
2272284,abattoir,en_UK,_ˈæbɐtwˌɑː_
2272285,abattoirs,en_UK,_ˈæbɐtwˌɑːz_
2272286,abba,en_UK,_ˈæbɐ_
2272287,abb,en_UK,_ˈæb_
2272288,abbess,en_UK,_ˈæbɛs_
2272289,abbesses,en_UK,_ˈæbɛsɪz_
2272290,abbey,en_UK,_ˈæbi_
2272291,abbeys,en_UK,_ˈæbiz_
2272292,abbot,en_UK,_ˈæbət_
2272293,abbots,en_UK,_ˈæbəts_
2272294,abbreviate,en_UK,_ɐbɹˈiːvɪˌe‍ɪt_
2272295,abbreviated,en_UK,_ɐbɹˈiːvɪˌe‍ɪtɪd_
2272296,abbreviates,en_UK,_ɐbɹˈiːvɪˌe‍ɪts_
2272297,abbreviating,en_UK,_ɐbɹˈiːvɪˌe‍ɪtɪŋ_
2272298,abbreviation,en_UK,_ɐbɹˌiːvɪˈe‍ɪʃən_
2272299,abbreviations,en_UK,_ɐbɹˌiːvɪˈe‍ɪʃənz_
2272300,abdicate,en_UK,_ˈæbdɪkˌe‍ɪt_
2272301,abdicated,en_UK,_ˈæbdɪkˌe‍ɪtɪd_
2272302,abdicates,en_UK,_ˈæbdɪkˌe‍ɪts_
2272303,abdicating,en_UK,_ˈæbdɪkˌe‍ɪtɪŋ_
2272304,abdication,en_UK,_ˌæbdɪkˈe‍ɪʃən_
2272305,abdomen,en_UK,_ˈæbdəmən_
2272306,abdomens,en_UK,_ˈæbdəmənz_
2272307,abdominal,en_UK,_æbdˈɒmɪnə‍l_
2272308,abduct,en_UK,_ɐbdˈʌkt_
2272309,abducted,en_UK,_ɐbdˈʌktɪd_
2272310,abducting,en_UK,_ɐbdˈʌktɪŋ_
2272311,abduction,en_UK,_ɐbdˈʌkʃən_
2272312,abductions,en_UK,_ɐbdˈʌkʃənz_
2272313,abductor,en_UK,_ɐbdˈʌktɐ_
2272314,abductors,en_UK,_ɐbdˈʌktəz_
2272315,abducts,en_UK,_ɐbdˈʌkts_
2272316,abeam,en_UK,_ɐbˈiːm_
2272317,abed,en_UK,_ɐbˈɛd_
2272318,aberrant,en_UK,_ɐbˈɛɹənt_
2272319,aberration,en_UK,_ˌæbəɹˈe‍ɪʃən_
2272320,aberrations,en_UK,_ˌæbəɹˈe‍ɪʃənz_
2272321,abet,en_UK,_ɐbˈɛt_
2272322,abetted,en_UK,_ɐbˈɛtɪd_
2272323,abetting,en_UK,_ɐbˈɛtɪŋ_
2272324,abeyance,en_UK,_ɐbˈe‍ɪəns_
2272325,abhor,en_UK,_ɐbhˈɔː_
2272326,abhorred,en_UK,_ɐbhˈɔːd_
2272327,abhorrence,en_UK,_ɐbhˈɒɹəns_
